"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"42","36-0184","35","24","19","2","63","0","0","0","0","0","0","0","0","0","53","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","42","0","11","0","39","0","11","0","2","0","40","40","11","37","14","44","7","31","20","37","14","32","19","25","26","36","15","19","32","40","11","22","28","35","15","0","12","0","0","37"
"42","36-0185","35","24","19","2","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","0","1","0","0","0","1","1","1","1","1","2","0","1","1","1","1","1","1","1","1","2","0","2","0","1","1","0","2","1","1","0","1","0","0","1"
"42","38-8610","35","24","19","2","3064","0","0","0","0","0","0","0","0","0","2301","0","0","0","0","0","0","0","0","0","0","0","1334","0","0","0","0","904","0","1480","0","785","5","1521","12","16","14","680","1100","1098","1163","1060","1277","928","964","1254","1243","982","1068","1125","1311","874","1286","920","1025","1196","1341","887","987","1208","1231","930","0","1573","0","0","659"
"42","40-4063","35","24","19","2","46","0","0","0","0","0","0","0","0","0","43","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","22","0","17","0","26","1","19","0","1","0","20","23","19","28","15","27","15","23","20","29","14","26","16","30","12","33","10","19","23","28","14","23","19","29","14","0","20","0","0","20"
"42","40-4064","37","24","19","2","152","0","0","0","0","0","0","0","0","0","132","0","0","0","0","0","0","0","0","0","0","0","44","0","0","0","0","83","0","45","0","86","0","53","0","3","0","75","83","43","102","29","99","29","79","50","98","31","92","34","79","48","107","23","55","73","100","27","64","58","93","29","0","50","0","0","76"
"42","40-4066","37","24","19","2","188","0","0","0","0","0","0","0","0","0","178","0","0","0","0","0","0","0","0","0","0","0","62","0","0","0","0","111","0","59","0","117","0","68","5","4","0","98","113","55","143","31","134","36","102","67","132","42","117","51","78","90","145","29","51","121","138","36","106","60","116","52","0","65","0","0","109"
"42","40-4068","35","24","19","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","40-4070","35","24","19","2","32","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","6","0","14","0","6","0","14","1","0","0","4","12","8","9","11","13","5","6","14","9","11","11","9","15","5","13","7","9","11","15","5","6","14","10","10","0","12","0","0","8"
"42","40-4071","35","24","19","2","109","0","0","0","0","0","0","0","0","0","103","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","76","0","34","0","69","1","39","0","0","0","63","85","17","83","19","84","16","73","29","81","20","64","36","45","56","90","11","29","73","82","20","69","32","70","32","0","36","0","0","66"
"42","40-4072","37","24","19","2","33","0","0","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","18","0","9","0","20","0","11","0","1","0","17","23","5","23","6","21","6","18","11","23","6","18","8","6","20","24","2","7","19","22","6","17","8","21","6","0","11","0","0","18"
"42","40-4073","37","24","19","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","40-4074","35","24","19","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
